2019/5/15 2:26:43,26,22421513.0967772,-91812320.1681237
2019/5/15 2:26:44,26,22421920.9278416,-91813990.1501104
2019/5/15 2:26:45,26,22422328.7717971,-91815660.2996038
2019/5/15 2:26:46,26,22422736.6478304,-91817330.4469549
2019/5/15 2:26:47,26,22423144.5109726,-91819000.6206574
2019/5/15 2:26:48,26,22423552.4211823,-91820671.0333129
2019/5/15 2:26:49,26,22423960.3250963,-91822341.4347031
2019/5/15 2:26:50,26,22424368.2416016,-91824011.864708
2019/5/15 2:26:51,26,22424776.1862873,-91825682.4192963
2019/5/15 2:26:52,26,22425184.133971,-91827352.9836348
2019/5/15 2:26:53,26,22425592.1041392,-91829023.6167023
2019/5/15 2:26:54,26,22426000.0806029,-91830694.2621138
2019/5/15 2:26:55,26,22426408.0249889,-91832364.710394
2019/5/15 2:26:56,26,22426815.9193095,-91834034.9717317
2019/5/15 2:26:57,26,22427223.7674621,-91835705.1425443
2019/5/15 2:26:58,26,22427631.6162143,-91837375.2697607
2019/5/15 2:26:59,26,22428039.4544738,-91839045.44332
2019/5/15 2:27:00,26,22428447.3427986,-91840715.7651714
2019/5/15 2:27:01,26,22428855.1798588,-91842385.8734742
2019/5/15 2:27:02,26,22429263.0223154,-91844055.9233996
2019/5/15 2:27:03,26,22429670.8650717,-91845726.0606061
2019/5/15 2:27:04,26,22430078.6937378,-91847396.1569524
2019/5/15 2:27:05,26,22430486.565574,-91849066.3259295
2019/5/15 2:27:06,26,22430894.4278169,-91850736.5637728
2019/5/15 2:27:07,26,22431302.3323304,-91852406.9291703
2019/5/15 2:27:08,26,22431710.2239529,-91854077.2137685
2019/5/15 2:27:09,26,22432118.1083804,-91855747.4733854
2019/5/15 2:27:10,26,22432526.028783,-91857417.8443146
2019/5/15 2:27:11,26,22432933.95728,-91859088.3290598
2019/5/15 2:27:12,26,22433341.8890747,-91860758.7260242
2019/5/15 2:27:13,26,22433749.7875924,-91862429.0061269
2019/5/15 2:27:14,26,22434157.6918062,-91864099.3552632
2019/5/15 2:27:15,26,22434565.5780324,-91865769.6244847
2019/5/15 2:27:16,26,22434973.4534662,-91867439.803735
2019/5/15 2:27:17,26,22435381.2989206,-91869109.9759576
2019/5/15 2:27:18,26,22435789.2487029,-91870780.3860444
2019/5/15 2:27:19,26,22436197.2161729,-91872450.9806697
2019/5/15 2:27:20,26,22436605.2421024,-91874121.8743443
2019/5/15 2:27:21,26,22437013.3174977,-91875792.9072466
2019/5/15 2:27:22,26,22437421.3838992,-91877463.919383
2019/5/15 2:27:23,26,22437829.4601938,-91879134.9714209
2019/5/15 2:27:24,26,22438237.6105372,-91880806.2390269
2019/5/15 2:27:25,26,22438645.7611804,-91882477.547195
2019/5/15 2:27:26,26,22439053.9190186,-91884148.8939446
2019/5/15 2:27:27,26,22439462.1029388,-91885820.3510565
2019/5/15 2:27:28,26,22439870.2445882,-91887491.6413438
2019/5/15 2:27:29,26,22440278.4078227,-91889162.9196232
2019/5/15 2:27:30,26,22440686.6349129,-91890834.4939013
2019/5/15 2:27:31,26,22441094.8760935,-91892506.1716102
2019/5/15 2:27:32,26,22441503.1247688,-91894177.7986144
2019/5/15 2:27:33,26,22441911.3407667,-91895849.2778336
2019/5/15 2:27:34,26,22442319.4755209,-91897520.4702256
2019/5/15 2:27:35,26,22442727.5856921,-91899191.5310607
2019/5/15 2:27:36,26,22443135.7905977,-91900863.0502514
2019/5/15 2:27:37,26,22443544.0467679,-91902534.8325892
2019/5/15 2:27:38,26,22443952.3278208,-91904206.6882562
2019/5/15 2:27:39,26,22444360.5920853,-91905878.4219078
2019/5/15 2:27:40,26,22444768.8032866,-91907549.966048
2019/5/15 2:27:41,26,22445177.0534609,-91909221.5868388
2019/5/15 2:27:42,26,22445585.3018364,-91910893.1879835
2019/5/15 2:27:43,26,22445993.5664007,-91912564.9442115
2019/5/15 2:27:44,26,22446401.9053136,-91914236.9447606
2019/5/15 2:27:45,26,22446810.2100501,-91915908.9048811
2019/5/15 2:27:46,26,22447218.5510615,-91917580.9750207
2019/5/15 2:27:47,26,22447626.9271486,-91919253.1354831
2019/5/15 2:27:48,26,22448035.2888457,-91920925.3012938
2019/5/15 2:27:49,26,22448443.632855,-91922597.3901413
2019/5/15 2:27:50,26,22448852.0371226,-91924269.6679451
2019/5/15 2:27:51,26,22449260.3970209,-91925941.8114467
2019/5/15 2:27:52,26,22449668.7632149,-91927613.9763831
2019/5/15 2:27:53,26,22450077.1443985,-91929286.2014635
2019/5/15 2:27:54,26,22450485.5186869,-91930958.3457344
2019/5/15 2:27:55,26,22450893.9109628,-91932630.6102763
2019/5/15 2:27:56,26,22451302.3098341,-91934302.8569473
2019/5/15 2:27:57,26,22451710.7233953,-91935975.2073673
2019/5/15 2:27:58,26,22452119.1903195,-91937647.7739108
2019/5/15 2:27:59,26,22452527.6746317,-91939320.4766361
2019/5/15 2:28:00,26,22452936.1517489,-91940993.1197177
2019/5/15 2:28:01,26,22453344.6591451,-91942665.950151
2019/5/15 2:28:02,26,22453753.1725372,-91944338.7598673
2019/5/15 2:28:03,26,22454161.6529521,-91946011.4376809
2019/5/15 2:28:04,26,22454570.1684427,-91947684.2080852
2019/5/15 2:28:05,26,22454978.6683441,-91949356.9609154
2019/5/15 2:28:06,26,22455387.1562538,-91951029.555345
2019/5/15 2:28:07,26,22455795.5497289,-91952701.8787889
2019/5/15 2:28:08,26,22456203.8814467,-91954373.9320242
2019/5/15 2:28:09,26,22456612.2425442,-91956046.0873244
